frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
2997,50.00030223020365,44.58797273606823,T+00:00:29 STAGE2 VELOCITY,missing,,,44.58797273606823,raw,"NEW GLENN 000,123 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,123.0,54.98592,raw,"LIFTOFF 002,258 FT",parsed,FT,2258.0,688.2384000000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3117,52.00231633351511,47.0,T+00:00:47 STAGE2 VELOCITY,parsed,s,47.0,47.0,raw,"NEW GLENN 000,257 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,257.0,114.88928,raw,"LIFTOFF 006,892 FT",parsed,FT,6892.0,2100.6816,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3237,54.004330436826564,50.0,T+00:00:50 STAGE2 VELOCITY,parsed,s,50.0,50.0,raw,"NEW GLENN 000,277 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,277.0,123.83008,raw,"LIFTOFF 007,658 FT",parsed,FT,7658.0,2334.1584000000003,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3357,56.00634454013802,51.0,T+00:00:51 STAGE2 VELOCITY,parsed,s,51.0,51.0,raw,"000,295 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,295.0,131.8768,raw,"LIFTOFF 008,384 ET",parsed,FT,8384.0,2555.4432,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3476,57.99167519258855,54.0,T+00:00:54 STAGE2 VELOCITY,parsed,s,54.0,54.0,raw,"NEW GLENN 000,317 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,317.0,141.71168,raw,LIFTOFF T+00 599'600 LENN IDE FT,parsed,FT,599.0,182.5752,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3596,59.99368929590001,56.0,T+00:00:56 STAGE2 VELOCITY,parsed,s,56.0,56.0,raw,"000,338 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,338.0,151.09951999999998,raw,"LIFTOFF 010,179 FT",parsed,FT,10179.0,3102.5592,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FI",parsed,FT,0.0,0.0,raw
3716,61.995703399211465,58.0,T+00:00:58 STAGE2 VELOCITY,parsed,s,58.0,58.0,raw,698'000 NEW GLEN NEW GLENN MPH ALTITUDE VELOCITY,parsed,MPH,698.0,312.03392,raw,"LIFTOFF 011,166 FT",parsed,FT,11166.0,3403.3968,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3836,63.997717502522924,59.0,T+00:00:59 STAGE2 VELOCITY,parsed,s,59.0,59.0,raw,629000 NEW GLENN NEW GLEN MPH ALTITUDE VELOCITY,missing,,,,raw,"LIFTOFF 012,094 ET",parsed,FT,12094.0,3686.2512,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
3956,65.99973160583438,62.0,T+00:01:02 STAGE2 VELOCITY,parsed,s,62.0,62.0,raw,"000,405 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,405.0,181.0512,raw,LIFTOFF T+00 LENN JDE FT,missing,,,,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
4076,68.00174570914584,63.0,T+00:01:03 STAGE2 VELOCITY,parsed,s,63.0,63.0,raw,"NEW GLENN 000,427 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,427.0,190.88608,raw,"LIFTOFF 014,237 FT",parsed,FT,14237.0,4339.4376,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
