frame_index,sample_time_s,mission_elapsed_time_s,stage1_velocity_mps,stage1_altitude_m,stage2_velocity_mps,stage2_altitude_m
15704,261.99691232002607,258.0,1832.864,128747.52,2178.42592,136794.24
15824,263.99892642333754,260.0,1828.3935999999999,128747.52,2185.57856,136794.24
15944,266.000940526649,261.0,1824.81728,130356.864,2191.83712,138403.584
16064,268.0029546299604,263.0,1820.79392,130356.864,,140012.928
16184,270.0049687332719,266.0,1816.77056,130356.864,2206.5894399999997,141622.272
16304,272.00698283658335,267.0,1813.64128,131966.208,2213.29504,
16423,273.9923134890339,270.0,1810.06496,131966.208,2221.7888,96560.64
16543,275.9943275923453,272.0,1806.48864,133575.552,2228.94144,96560.64
16663,277.9963416956568,274.0,1803.8064,133575.552,2236.98816,
16783,279.99835579896825,275.0,1801.12416,133575.552,,
16903,282.0003699022797,277.0,1798.44192,135184.896,2251.74048,
17023,284.0023840055912,280.0,1795.75968,135184.896,2260.68128,151278.336
17143,286.00439810890265,281.0,1793.52448,135184.896,2267.83392,151278.336
17263,288.00641221221406,283.0,1791.28928,136794.24,2276.32768,
17382,289.9917428646646,286.0,1789.0540799999999,136794.24,2285.26848,
17502,291.9937569679761,287.0,,136794.24,2292.86816,
17622,293.99577107128755,289.0,1785.47776,136794.24,2301.36192,
17742,295.99778517459896,291.0,,136794.24,2310.30272,
17862,297.9997992779104,293.0,,138403.584,2318.79648,
17982,300.0018133812219,295.0,440.78144,138403.584,2327.73728,0.0
18102,302.00382748453336,297.0,,138403.584,2336.67808,
18222,304.0058415878448,300.0,,138403.584,2346.96,
18342,306.0078556911563,302.0,83.14944,138403.584,2355.9008,
18461,307.9931863436068,303.0,,138403.584,,
18581,309.99520044691826,305.0,,138403.584,2373.7824,
18701,311.9972145502297,307.0,279.84704,138403.584,2383.61728,
18821,313.9992286535412,309.0,,138403.584,2393.00512,167371.776
18941,316.0012427568526,311.0,83.14944,138403.584,2402.84,168981.12
19061,318.0032568601641,314.0,,138403.584,2414.016,168981.12
19181,320.00527096347554,315.0,,138403.584,2422.9568,170590.464
19301,322.007285066787,318.0,357.632,138403.584,2434.1328,172199.80800000002
19420,323.9926157192375,319.0,,138403.584,2443.52064,172199.80800000002
19540,325.994629822549,321.0,74.20864,136794.24,2453.35552,173809.152
19660,327.99664392586044,324.0,,136794.24,2464.97856,173809.152
19780,329.9986580291719,326.0,387.13664,136794.24,2475.70752,
19900,332.0006721324834,327.0,,136794.24,,
20020,334.00268623579484,329.0,1790.84224,136794.24,2495.82432,177027.84
20140,336.00470033910625,332.0,1793.07744,135184.896,2507.8944,178637.184
20260,338.0067144424177,333.0,1795.3126399999999,135184.896,2517.72928,178637.184
20379,339.9920450948683,336.0,1797.99488,135184.896,,180246.528
20499,341.99405919817974,337.0,1800.23008,133575.552,2540.08128,180246.528
20619,343.99607330149115,339.0,1803.35936,133575.552,2551.25728,181855.872
20739,345.9980874048026,341.0,1806.0416,133575.552,2562.8803199999998,181855.872
20859,348.0001015081141,343.0,1809.61792,131966.208,2574.50336,183465.21600000001
20979,350.00211561142555,346.0,1813.19424,131966.208,2587.02048,183465.21600000001
