frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
4316,72.00577391576876,68.0,T+00:01:08,parsed,s,68.0,68.0,raw,"NEW GLENN 000,482 MPH VELOCITY",parsed,MPH,482.0,215.47328,raw,"NEW GLENN 016,913 ALTITUDE FT",parsed,FT,16913.0,5155.0824,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
4436,74.00778801908021,69.0,T+00:01:09,parsed,s,69.0,69.0,raw,"000,507 NEW GLENN MPH VELOCITY",parsed,MPH,507.0,226.64928,raw,"017,977 NEW GLENN ALTITUDE FT",parsed,FT,17977.0,5479.3896,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
4555,75.99311867153074,72.0,T+00:01:12,parsed,s,72.0,72.0,raw,689'000 NEW GLENN MPH VELOCITY,parsed,MPH,689.0,308.01056,raw,"NEW GLENN 019,572 ALTITUDE FT",parsed,FT,19572.0,5965.5456,raw,"000,000 STAGE2 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
4675,77.99513277484219,74.0,T+00:01:14,parsed,s,74.0,74.0,raw,69S'000 NEW GLENN MPH VELOCITY,parsed,MPH,0.0,0.0,raw,"021,085 NEW GLENN ALTITUDE FT",parsed,FT,21085.0,6426.7080000000005,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
4795,79.99714687815366,76.0,T+00:01:16,parsed,s,76.0,76.0,raw,"000,600 NEW GLENN MPH VELOCITY",parsed,MPH,600.0,268.224,raw,"022,493 NEW GLENN ALTITUDE FT",parsed,FT,22493.0,6855.866400000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
4915,81.99916098146511,77.0,T+00:01:17,parsed,s,77.0,77.0,raw,"000,630 NEW GLENN MPH VELOCITY",parsed,MPH,630.0,281.6352,raw,"023,961 NEW GLENN ALTITUDE FT",parsed,FT,23961.0,7303.312800000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5035,84.00117508477656,80.0,T+00:01:20,parsed,s,80.0,80.0,raw,"000,667 NEW GLENN MPH VELOCITY",parsed,MPH,667.0,298.17568,raw,"025,882 NEW GLENN ALTITUDE FT",parsed,FT,25882.0,7888.833600000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5155,86.00318918808803,81.0,T+00:01:21,parsed,s,81.0,81.0,raw,669'000 NEW GLENN MPH VELOCITY,parsed,MPH,669.0,299.06976,raw,"NEW GLENN 027,488 ALTITUDE FT",parsed,FT,27488.0,8378.3424,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5275,88.00520329139948,83.0,T+00:01:23,parsed,s,83.0,83.0,raw,"000,735 NEW GLENN MPH VELOCITY",parsed,MPH,735.0,328.57439999999997,raw,"029,157 NEW GLENN ALTITUDE FT",parsed,FT,29157.0,8887.053600000001,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
5395,90.00721739471093,85.0,T+00:01:25,parsed,s,85.0,85.0,raw,"000,771 NEW GLENN MPH VELOCITY",parsed,MPH,771.0,344.66784,raw,"031,108 NEW GLENN ALTITUDE FT",parsed,FT,31108.0,9481.7184,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
5514,91.99254804716146,88.0,T+00:01:28,parsed,s,88.0,88.0,raw,"000,813 NEW GLENN MPH VELOCITY",parsed,MPH,813.0,363.44352,raw,"NEW GLENN 033,368 ALTITUDE FT",parsed,FT,33368.0,10170.5664,raw,"STAGE2 000,000 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5634,93.99456215047292,89.0,T+00:01:29,parsed,s,89.0,89.0,raw,"000,848 NEW GLENN MPH VELOCITY",parsed,MPH,848.0,379.08992,raw,"035,010 NEW GLENN ALTITUDE FT",parsed,FT,35010.0,10671.048,raw,"STAGE2 000,000 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5754,95.99657625378438,91.0,T+00:01:31,parsed,s,91.0,91.0,raw,688'000 NEW GLENN MPH VELOCITY,parsed,MPH,688.0,307.56352,raw,"037,195 NEW GLENN ALTITUDE FT",parsed,FT,37195.0,11337.036,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5874,97.99859035709584,94.0,T+00:01:34,parsed,s,94.0,94.0,raw,586'000 NEW GLENN MPH VELOCITY,parsed,MPH,586.0,261.96544,raw,"NEW GLENN 039,722 ALTITUDE",parsed,FT,39722.0,12107.2656,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
5994,100.0006044604073,95.0,T+00:01:35,parsed,s,95.0,95.0,raw,"000,974 NEW GLENN MPH VELOCITY",parsed,MPH,974.0,435.41696,raw,"041,555 NEW GLENN ALTITUDE FT",parsed,FT,41555.0,12665.964,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
6114,102.00261856371876,97.0,T+00:01:37,parsed,s,97.0,97.0,raw,610'100 NEW GLENN MPH VELOCITY,parsed,MPH,610.0,272.6944,raw,"043,991 NEW GLENN ALTITUDE FT",parsed,FT,43991.0,13408.4568,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
6234,104.00463266703022,100.0,T+00:01:40,parsed,s,100.0,100.0,raw,"001,071 NEW GLENN MPH VELOCITY",parsed,MPH,1071.0,478.77984,raw,"046,801 NEW GLENN ALTITUDE FT",parsed,FT,46801.0,14264.9448,raw,"000,000 STAGE2 MPH VELOCITY",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
6354,106.00664677034167,101.0,T+00:01:41,parsed,s,101.0,101.0,raw,"001,115 NEW GLENN MPH VELOCITY",parsed,MPH,1115.0,498.4496,raw,"049,129 NEW GLENN ALTITUDE FT",parsed,FT,49129.0,14974.5192,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
6473,107.9919774227922,104.0,T+00:01:44,parsed,s,104.0,104.0,raw,"001,170 NEW GLENN MPH VELOCITY",parsed,MPH,1170.0,523.0368,raw,"051,832 NEW GLENN ALTITUDE",parsed,FT,51832.0,15798.3936,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"000,000 STAGE2 ALTITUDE",parsed,MI,0.0,0.0,raw
6593,109.99399152610366,105.0,T+00:01:45,parsed,s,105.0,105.0,raw,"001,217 NEW GLENN MPH VELOCITY",parsed,MPH,1217.0,544.04768,raw,"NEW GLENN 054,312 ALTITUDE",parsed,FT,54312.0,16554.2976,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
6713,111.99600562941512,108.0,T+00:01:48,parsed,s,108.0,108.0,raw,"001,276 NEW GLENN MPH VELOCITY",parsed,MPH,1276.0,570.42304,raw,"NEW GLENN 057,191 ALTITUDE FT",parsed,FT,57191.0,17431.8168,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
6833,113.99801973272658,110.0,T+00:01:50,parsed,s,110.0,110.0,raw,"001,332 NEW GLENN MPH VELOCITY",parsed,MPH,1332.0,595.45728,raw,"060,163 NEW GLENN ALTITUDE FT",parsed,FT,60163.0,18337.6824,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
6953,116.00003383603804,111.0,T+00:01:51,parsed,s,111.0,111.0,raw,"001,384 NEW GLENN MPH VELOCITY",parsed,MPH,1384.0,618.70336,raw,"062,883 NEW GLENN ALTITUDE FT",parsed,FT,62883.0,19166.7384,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
7073,118.0020479393495,114.0,T+00:01:54,parsed,s,114.0,114.0,raw,"001,450 NEW GLENN MPH VELOCITY",parsed,MPH,1450.0,648.208,raw,"066,388 NEW GLENN ALTITUDE FT",parsed,FT,66388.0,20235.062400000003,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
7193,120.00406204266096,116.0,T+00:01:56,parsed,s,116.0,116.0,raw,"001,511 NEW GLENN MPH VELOCITY",parsed,MPH,1511.0,675.47744,raw,"069,275 NEW GLENN ALTITUDE FT",parsed,FT,69275.0,21115.02,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
7313,122.0060761459724,117.0,T+00:01:57,parsed,s,117.0,117.0,raw,"001,568 NEW GLENN MPH VELOCITY",parsed,MPH,1568.0,700.95872,raw,"NEW GLENN 072,241 ALTITUDE FT",parsed,FT,72241.0,22019.0568,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
7433,124.00809024928388,119.0,T+00:01:59,parsed,s,119.0,119.0,raw,"001,633 NEW GLENN MPH VELOCITY",parsed,MPH,1633.0,730.01632,raw,"NEW GLENN 075,672 ALTITUDE FT",parsed,FT,75672.0,23064.8256,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
7552,125.9934209017344,121.0,T+00:02:01,parsed,s,121.0,121.0,raw,"001,698 NEW GLENN MPH VELOCITY",parsed,MPH,1698.0,759.07392,raw,"078,808 NEW GLENN ALTITUDE FT",parsed,FT,78808.0,24020.6784,raw,"STAGE2 000,000 VELOCITY MPH",parsed,MPH,0.0,0.0,raw,"STAGE2 000,000 ALTITUDE",parsed,MI,0.0,0.0,raw
